technology,project,country,year,capacity_mw,energy_mwh,metric,value,unit,currency,currency_year,point_type,source,url,note
onwind,Lazard LCOE+ 2025,USA,2025,300,,capex_per_kw,1900,USD/kW,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,"total capital cost $1,900-2,300/kW"
onwind,Lazard LCOE+ 2025,USA,2025,300,,capex_per_kw,2300,USD/kW,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
onwind,Lazard LCOE+ 2025,USA,2025,300,,fom,24.5,USD/kW-yr,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,FOM $24.50-40.00/kW-yr
onwind,Lazard LCOE+ 2025,USA,2025,300,,fom,40,USD/kW-yr,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
onwind,EIA AEO2025 onshore wind 200 MW,USA,2023,200,,capex_per_kw,1489,USD/kW,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,Table 1-2 case 13 (Great Plains)
onwind,EIA AEO2025 onshore wind 200 MW,USA,2023,200,,fom,33.06,USD/kW-yr,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,Table 1-2 case 13
offwind,Lazard LCOE+ 2025,USA,2025,900,,lcoe,70,USD/MWh,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,unsubsidised offshore wind; CF 55% (low) to 45% (high)
offwind,Lazard LCOE+ 2025,USA,2025,900,,lcoe,157,USD/MWh,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
offwind,Lazard LCOE+ 2025,USA,2025,900,,capex_per_kw,3450,USD/kW,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,"total capital cost $3,450-6,550/kW"
offwind,Lazard LCOE+ 2025,USA,2025,900,,capex_per_kw,6550,USD/kW,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
offwind,Lazard LCOE+ 2025,USA,2025,900,,fom,60,USD/kW-yr,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,FOM $60.00-91.50/kW-yr
offwind,Lazard LCOE+ 2025,USA,2025,900,,fom,91.5,USD/kW-yr,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
offwind,EIA AEO2025 fixed-bottom offshore 900 MW,USA,2023,900,,capex_per_kw,3689,USD/kW,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,Table 1-2 case 15
offwind,EIA AEO2025 fixed-bottom offshore 900 MW,USA,2023,900,,fom,154,USD/kW-yr,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,Table 1-2 case 15
solar-utility,IRENA global weighted average 2024,Global,2024,,,capex_per_kw,691,USD/kW,USD,2024,weighted_average,"IRENA, Renewable Power Generation Costs in 2024 (Jul 2025), Table S1",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,"total installed cost, utility-scale PV, 2024 USD; CF 17%"
solar-utility,IRENA global weighted average 2024,Global,2024,,,lcoe,0.043,USD/kWh,USD,2024,weighted_average,"IRENA, Renewable Power Generation Costs in 2024 (Jul 2025), Table S1",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,2024 USD
onwind,IRENA global weighted average 2024,Global,2024,,,capex_per_kw,1041,USD/kW,USD,2024,weighted_average,"IRENA, Renewable Power Generation Costs in 2024 (Jul 2025), Table S1",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,2024 USD; CF 34%
onwind,IRENA global weighted average 2024,Global,2024,,,lcoe,0.034,USD/kWh,USD,2024,weighted_average,"IRENA, Renewable Power Generation Costs in 2024 (Jul 2025), Table S1",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,2024 USD
offwind,IRENA global weighted average 2024,Global,2024,,,capex_per_kw,2852,USD/kW,USD,2024,weighted_average,"IRENA, Renewable Power Generation Costs in 2024 (Jul 2025), Table S1",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,2024 USD; CF 42%
offwind,IRENA global weighted average 2024,Global,2024,,,lcoe,0.079,USD/kWh,USD,2024,weighted_average,"IRENA, Renewable Power Generation Costs in 2024 (Jul 2025), Table S1",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,"2024 USD; US >0.123, China 0.056"
hydro,IRENA global weighted average 2024,Global,2024,,,capex_per_kw,2267,USD/kW,USD,2024,weighted_average,"IRENA, Renewable Power Generation Costs in 2024 (Jul 2025), Table S1",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,2024 USD; CF 48%
hydro,IRENA global weighted average 2024,Global,2024,,,lcoe,0.057,USD/kWh,USD,2024,weighted_average,"IRENA, Renewable Power Generation Costs in 2024 (Jul 2025), Table S1",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,2024 USD
biomass,IRENA global weighted average 2024,Global,2024,,,capex_per_kw,3242,USD/kW,USD,2024,weighted_average,"IRENA, Renewable Power Generation Costs in 2024 (Jul 2025), Table S1",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,2024 USD; CF 73%
biomass,IRENA global weighted average 2024,Global,2024,,,lcoe,0.087,USD/kWh,USD,2024,weighted_average,"IRENA, Renewable Power Generation Costs in 2024 (Jul 2025), Table S1",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,2024 USD
battery-liion,IRENA utility-scale BESS global 2024,Global,2024,,,capex_per_kwh,192,USD/kWh,USD,2024,weighted_average,"IRENA, Renewable Power Generation Costs in 2024, executive summary",https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,"total installed cost of utility-scale BESS: 2,571 USD/kWh (2010) -> 192 USD/kWh (2024)"
offwind,Vineyard Wind 1,USA,2026,806,,capex_per_kw,5583,USD/kW,USD,2025,final_cost,"WBUR, 'Vineyard Wind construction complete', 14 Mar 2026; capacity per Iberdrola",https://www.wbur.org/news/2026/03/14/vineyard-wind-construction-complete-massachusetts-offshore-wind,"$4.5bn / 806 MW = 5,583; 62 x Haliade-X 13 MW; after blade failure and federal pause; earlier press cited $3-4bn; price year taken as 2025"
offwind,Dogger Bank A+B+C,UK,2019,3600,,capex_per_kw,2500,GBP/kW,GBP,2019,estimate,NS Energy project profile,https://www.nsenergybusiness.com/projects/dogger-bank-wind-farms/,"total investment estimated £9bn for 3 x 1.2 GW; 9e9/3.6e6 = 2,500; pre-construction estimate, later overruns not captured"
offwind,Hornsea 3,UK,2023,2900,,capex_per_kw,3621,USD/kW,USD,2023,estimate,"Maritime Executive, FID report, 20 Dec 2023",https://maritime-executive.com/article/oersted-proceeds-with-construction-of-hornsea-3-as-world-s-largest-wind-farm,"stated cost $10-11bn; midpoint 10.5e9/2.9e6 = 3,621; CfD £37.35/MWh (2012 prices); completion ~2027"
solar-utility,"Gemini Solar + Storage (690 MWac + 380 MW/1,400 MWh)",USA,2024,690,1400,capex_per_kw,1739,USD/kW,USD,2022,estimate,Quinbrook portfolio page ($1.2bn); Primergy 2019 release (>$1bn),https://www.quinbrook.com/our-portfolio/gemini-solar-storage/,"1.2e9/690e3 = 1,739 per kWac INCLUDING the DC-coupled 380 MW/1,400 MWh battery; COD early 2024"
onwind,"Viking Wind Farm (Shetland), wind farm only",UK,2024,443,,capex_per_kw,1309,GBP/kW,GBP,2024,final_cost,SSE Renewables project page,https://www.sserenewables.com/onshore-wind/great-britain/viking/,"£580m / 443 MW = 1,309; excludes the 600 MW HVDC link (SSE total £1bn incl. link -> 2,257); operational Sep 2024; figure from search snippet"
onwind,Germany onshore wind auction Nov 2024,Germany,2024,4098,,lcoe,71.5,EUR/MWh,EUR,2024,ppa_price,"Bundesnetzagentur press release, 11 Dec 2024",https://www.bundesnetzagentur.de/SharedDocs/Pressemitteilungen/EN/2024/20241211_WindAusschreibungen.html,"average volume-weighted award 7.15 ct/kWh (6.93-7.35); EEG reference-yield value, not a plain PPA"
solar-utility,Germany ground-mounted PV auction Dec 2024,Germany,2024,2150,,lcoe,47.6,EUR/MWh,EUR,2024,ppa_price,"Bundesnetzagentur press release, 10 Feb 2025",https://www.bundesnetzagentur.de/SharedDocs/Pressemitteilungen/EN/2025/20250210_FFAV.html,average volume-weighted award 4.76 ct/kWh (bids 3.88-4.95)
solar-utility,LevelTen North America P25 solar PPA Q4 2024,USA,2024,,,lcoe,50,USD/MWh,USD,2024,ppa_price,"pv magazine, 29 Jan 2025, reporting LevelTen Q4 2024 PPA Price Index",https://www.pv-magazine.com/2025/01/29/us-solar-ppa-prices-rise-3-3-in-q4/,"P25 offer price, market-averaged continental index"
onwind,LevelTen North America P25 wind PPA Q4 2024,USA,2024,,,lcoe,49.75,USD/MWh,USD,2024,ppa_price,"pv magazine, 29 Jan 2025, reporting LevelTen Q4 2024 PPA Price Index",https://www.pv-magazine.com/2025/01/29/us-solar-ppa-prices-rise-3-3-in-q4/,P25 offer price
battery-liion,"BNEF ESS cost survey 2024, global average turnkey",Global,2024,,,capex_per_kwh,165,USD/kWh,USD,2024,weighted_average,"BloombergNEF Energy Storage System Cost Survey 2024, via Energy-Storage.news 5 Feb 2025",https://www.energy-storage.news/behind-the-numbers-bnef-finds-40-year-on-year-drop-in-bess-costs/,"turnkey system incl. installation, mixed 1-4 h durations; -40% YoY"
battery-liion,"BNEF ESS cost survey 2024, US turnkey",USA,2024,,,capex_per_kwh,236,USD/kWh,USD,2024,weighted_average,"BloombergNEF Energy Storage System Cost Survey 2024, via Energy-Storage.news 5 Feb 2025",https://www.energy-storage.news/behind-the-numbers-bnef-finds-40-year-on-year-drop-in-bess-costs/,2 h and 4 h systems
battery-liion,"BNEF ESS cost survey 2024, Europe turnkey",Europe,2024,,,capex_per_kwh,275,USD/kWh,USD,2024,weighted_average,"BloombergNEF Energy Storage System Cost Survey 2024, via Energy-Storage.news 5 Feb 2025",https://www.energy-storage.news/behind-the-numbers-bnef-finds-40-year-on-year-drop-in-bess-costs/,2 h and 4 h systems
battery-liion,"BNEF ESS cost survey 2024, China 4 h turnkey",China,2024,,,capex_per_kwh,85,USD/kWh,USD,2024,weighted_average,"BloombergNEF Energy Storage System Cost Survey 2024, via Energy-Storage.news 5 Feb 2025",https://www.energy-storage.news/behind-the-numbers-bnef-finds-40-year-on-year-drop-in-bess-costs/,4-hour duration
battery-liion,"Lazard LCOS v10, 100 MW / 4 h standalone",USA,2025,100,400,capex_per_kwh,155,USD/kWh,USD,2025,benchmark_range_low,"Lazard LCOE+ June 2025, LCOS key assumptions",https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,total initial installed cost $62-160m for 400 MWh -> 155-400 USD/kWh; excludes augmentation
battery-liion,"Lazard LCOS v10, 100 MW / 4 h standalone",USA,2025,100,400,capex_per_kwh,400,USD/kWh,USD,2025,benchmark_range_high,"Lazard LCOE+ June 2025, LCOS key assumptions",https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
battery-liion,"Lazard LCOS v10, 100 MW / 4 h standalone",USA,2025,100,400,capex_per_kw,620,USD/kW,USD,2025,benchmark_range_low,"Lazard LCOE+ June 2025, LCOS key assumptions",https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,62e6/100e3
battery-liion,"Lazard LCOS v10, 100 MW / 4 h standalone",USA,2025,100,400,capex_per_kw,1600,USD/kW,USD,2025,benchmark_range_high,"Lazard LCOE+ June 2025, LCOS key assumptions",https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,160e6/100e3
battery-liion,"Lazard LCOS v10, 100 MW / 4 h standalone",USA,2025,100,400,lcoe,115,USD/MWh,USD,2025,benchmark_range_low,"Lazard LCOE+ June 2025, LCOS",https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,"levelised cost of storage, unsubsidised"
battery-liion,"Lazard LCOS v10, 100 MW / 4 h standalone",USA,2025,100,400,lcoe,254,USD/MWh,USD,2025,benchmark_range_high,"Lazard LCOE+ June 2025, LCOS",https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
battery-liion,"PNNL ESGC 2022, Li-ion LFP 100 MW / 4 h",USA,2021,100,400,capex_per_kwh,385,USD/kWh,USD,2021,estimate,"PNNL, 2022 Grid Energy Storage Technology Cost and Performance Assessment (PNNL-33283)",https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,fully installed 2021 cost; 10 h system 356 USD/kWh
battery-liion,"Waratah Super Battery (850 MW / 1,680 MWh)",Australia,2025,850,1680,capex_per_kwh,386,USD/kWh,USD,2025,final_cost,"Bloomberg via EnergyConnects, 4 Aug 2025; capacity per Akaysha",https://www.energyconnects.com/news/renewables/2025/august/australia-activates-blackrock-s-a-1b-super-battery-which-will-be-world-s-most-powerful/,"A$1bn (= US$648m per article) / 1,680 MWh = 386 USD/kWh; BlackRock/Akaysha; 700 MW online Aug 2025"
battery-liion,"Waratah Super Battery (850 MW / 1,680 MWh)",Australia,2025,850,1680,capex_per_kw,762,USD/kW,USD,2025,final_cost,"Bloomberg via EnergyConnects, 4 Aug 2025; capacity per Akaysha",https://akayshaenergy.com/projects/waratah-super-battery,US$648m / 850 MW = 762
iron-air,Form Energy iron-air cost target,USA,2021,,,capex_per_kwh,20,USD/kWh,USD,2021,estimate,"Utility Dive, 26 Jul 2021",https://www.utilitydive.com/news/form-energys-20kwh-100-hour-iron-air-battery-could-be-a-substantial-br/603877/,"company target '<$20/kWh' for 100-hour system; not an observed cost; no project cost disclosed for Cambridge (1.5 MW/150 MWh), Georgia Power (15 MW/1,500 MWh) or Lincoln ME (85 MW/8,500 MWh)"
vrfb,"PNNL ESGC 2022, vanadium RFB 100 MW / 10 h",USA,2021,100,1000,capex_per_kwh,385,USD/kWh,USD,2021,estimate,"PNNL, 2022 Grid Energy Storage Technology Cost and Performance Assessment (PNNL-33283)",https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,projected 2021 fully installed cost
vrfb,"PNNL ESGC 2022, RFB fixed O&M",USA,2021,10,40,fom,6.66,USD/kW-yr,USD,2021,estimate,"PNNL, 2022 Grid Energy Storage Technology Cost and Performance Assessment (PNNL-33283)",https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,10 MW / 4 h system
vrfb,"BNEF 2024 flow battery installed cost, China",China,2024,,,capex_per_kwh,423,USD/kWh,USD,2024,weighted_average,"BNEF 2024 survey via Energy-Storage.news, 15 Jul 2025",https://www.energy-storage.news/invinity-leverages-china-partnership-for-flow-battery-cost-reduction-supply-chain-advantages/,"fully installed flow battery system, China average"
vrfb,"BNEF 2024 flow battery installed cost, rest of world",Global ex-China,2024,,,capex_per_kwh,701,USD/kWh,USD,2024,weighted_average,"BNEF 2024 survey via Energy-Storage.news, 15 Jul 2025",https://www.energy-storage.news/invinity-leverages-china-partnership-for-flow-battery-cost-reduction-supply-chain-advantages/,rest-of-world average
vrfb,Dalian Rongke Power VRFB phase 1 (100 MW / 400 MWh),China,2022,100,400,capex_per_kwh,665,USD/kWh,USD,2022,final_cost,"pv magazine, 29 Sep 2022",https://www.pv-magazine.com/2022/09/29/china-connects-worlds-largest-redox-flow-battery-system-to-grid/,CNY 1.9bn (= $266m per article) / 400 MWh = 665 USD/kWh; grid-connected Sep 2022
egs,Fervo Cape Station phase 1 (FOAK),USA,2026,100,,capex_per_kw,7000,USD/kW,USD,2025,estimate,Fervo Energy Form S-1 (2026),https://www.sec.gov/Archives/edgar/data/1853868/000162828026025821/fervoenergy-sx1.htm,"'at approximately $7,000/kW our first Cape Station project'; 500 MW under construction, first power late 2026; price year taken as 2025"
egs,Fervo Nth-of-a-kind target,USA,2030,,,capex_per_kw,3000,USD/kW,USD,2025,estimate,Fervo Energy Form S-1 (2026),https://www.sec.gov/Archives/edgar/data/1853868/000162828026025821/fervoenergy-sx1.htm,"stated NOAK goal $3,000/kW; target year not stated"
egs,NREL Geothermal Shot reference deep-EGS plant (BAU),USA,2022,,,capex_per_kw,32255,USD/kW,USD,2019,estimate,"NREL, Enhanced Geothermal Shot Analysis for the Geothermal Technologies Office (NREL/TP-5700-84822, Jan 2023)",https://docs.nrel.gov/docs/fy23osti/84822.pdf,"GETEM business-as-usual overnight cost for a 175C / 3,000 m binary deep-EGS plant (2019$)"
egs,NREL Geothermal Shot 2035 deep-EGS plant,USA,2035,,,capex_per_kw,3565,USD/kW,USD,2019,estimate,"NREL, Enhanced Geothermal Shot Analysis for the Geothermal Technologies Office (NREL/TP-5700-84822, Jan 2023)",https://docs.nrel.gov/docs/fy23osti/84822.pdf,Earthshot-assumption overnight cost (-89%); capacity-weighted LCOE 45.6 USD/MWh in 2035 (2019$)
egs,DOE Enhanced Geothermal Shot 2035 target,USA,2035,,,lcoe,45,USD/MWh,USD,2022,estimate,"DOE press release, 8 Sep 2022",https://www.energy.gov/articles/doe-launches-new-energy-earthshot-slash-cost-geothermal-power,'cut cost by 90% to $45/MWh by 2035'
dac,Climeworks Orca bulk sale price,Iceland,2021,,,cost_per_tco2,600,USD/tCO2,USD,2021,benchmark_range_low,"Grist, 8 Sep 2021",https://grist.org/technology/orca-the-largest-carbon-removal-facility-to-date-is-up-and-running/,"Orca 4,000 t/yr; bulk prices $600-800/t (retail ~$1,100); sale prices, not audited costs"
dac,Climeworks Orca bulk sale price,Iceland,2021,,,cost_per_tco2,800,USD/tCO2,USD,2021,benchmark_range_high,"Grist, 8 Sep 2021",https://grist.org/technology/orca-the-largest-carbon-removal-facility-to-date-is-up-and-running/,
dac,Climeworks Mammoth current cost (CEO),Iceland,2024,,,cost_per_tco2,1000,USD/tCO2,USD,2024,estimate,"Canary Media, 'World's largest direct air capture plant starts sucking CO2 from the sky', 8 May 2024",https://www.canarymedia.com/articles/carbon-capture/worlds-largest-direct-air-capture-plant-starts-sucking-co2-from-the-sky,"Mammoth 36,000 t/yr; 'closer to the $1,000 per ton mark than to $100'"
dac,Climeworks credit sale to JPMorgan 2023,Iceland,2023,,,cost_per_tco2,800,USD/tCO2,USD,2023,ppa_price,"Canary Media, 'World's largest direct air capture plant starts sucking CO2 from the sky', 8 May 2024",https://www.canarymedia.com/articles/carbon-capture/worlds-largest-direct-air-capture-plant-starts-sucking-co2-from-the-sky,credits sold at ~$800/t
dac,Climeworks next-generation target 2030,Iceland,2030,,,cost_per_tco2,300,USD/tCO2,USD,2024,benchmark_range_low,"Canary Media, 'World's largest direct air capture plant starts sucking CO2 from the sky', 8 May 2024",https://www.canarymedia.com/articles/carbon-capture/worlds-largest-direct-air-capture-plant-starts-sucking-co2-from-the-sky,'approach $300-350 per ton by 2030'; target
dac,Climeworks next-generation target 2030,Iceland,2030,,,cost_per_tco2,350,USD/tCO2,USD,2024,benchmark_range_high,"Canary Media, 'World's largest direct air capture plant starts sucking CO2 from the sky', 8 May 2024",https://www.canarymedia.com/articles/carbon-capture/worlds-largest-direct-air-capture-plant-starts-sucking-co2-from-the-sky,target
battery-liion,"Lazard LCOS v10, 100 MW / 4 h standalone",USA,2025,100,400,fom,12,USD/kW-yr,USD,2025,benchmark_range_low,"Lazard LCOE+ June 2025, LCOS key assumptions",https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,storage O&M $3.0-8.0/kWh-yr converted to per kW at 4 h duration (x4)
battery-liion,"Lazard LCOS v10, 100 MW / 4 h standalone",USA,2025,100,400,fom,32,USD/kW-yr,USD,2025,benchmark_range_high,"Lazard LCOE+ June 2025, LCOS key assumptions",https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,8.0 x 4
dac,IEA Direct Air Capture 2022 (large plant built today),Global,2022,,,cost_per_tco2,125,USD/tCO2,USD,2022,benchmark_range_low,"IEA, Direct Air Capture 2022, executive summary",https://www.iea.org/reports/direct-air-capture-2022/executive-summary,'USD 125-335/t for a large-scale plant built today'
dac,IEA Direct Air Capture 2022 (large plant built today),Global,2022,,,cost_per_tco2,335,USD/tCO2,USD,2022,benchmark_range_high,"IEA, Direct Air Capture 2022, executive summary",https://www.iea.org/reports/direct-air-capture-2022/executive-summary,
dac,Occidental / 1PointFive Stratos (CEO price assumption),USA,2023,,,cost_per_tco2,450,USD/tCO2,USD,2023,estimate,"Industrial Info, 10 Nov 2023, quoting Occidental",https://www.industrialinfo.com/news/article/occidental-has-high-hopes-for-direct-air-capture-of-carbon-emissions--325522,"'even if the price of DAC remains at $450 per metric ton'; Stratos 500 kt/yr, ~$1.3bn capex"
CCGT,NREL ATB 2024 NG 1-on-1 CC (H-frame) Moderate,USA,2022,,,capex_per_kw,1482,USD/kW,USD,2022,estimate,NREL ATB 2024 (v3 CSV),https://oedi-data-lake.s3.amazonaws.com/ATB/electricity/csv/2024/v3.0.0/ATBe.csv,"2022 overnight cost; 2-on-1 F-frame 1,245"
OCGT,NREL ATB 2024 NG combustion turbine (F-frame) Moderate,USA,2022,,,capex_per_kw,1110,USD/kW,USD,2022,estimate,NREL ATB 2024 (v3 CSV),https://oedi-data-lake.s3.amazonaws.com/ATB/electricity/csv/2024/v3.0.0/ATBe.csv,2022 overnight cost; FOM 26.1 USD/kW-yr
egs,NREL ATB 2024 Deep EGS / Flash Moderate,USA,2022,,,capex_per_kw,7630,USD/kW,USD,2022,estimate,NREL ATB 2024 (v3 CSV),https://oedi-data-lake.s3.amazonaws.com/ATB/electricity/csv/2024/v3.0.0/ATBe.csv,"dual-flash 250 C 3.5 km, 2022 overnight cost; binary variant is the bar"
egs,DOE Liftoff Next-Gen Geothermal 2023 FOAK,USA,2023,,,capex_per_kw,14700,USD/kW,USD,2023,estimate,"DOE Pathways to Commercial Liftoff: Next-Generation Geothermal Power (Mar 2024), Fig. 11",https://www.energy.gov/sites/default/files/2025-07/LIFTOFF_DOE_Next-Generation-Geothermal%20Power.pdf,"national-average FOAK overnight cost 2023; 2030 liftoff target ~4,700-5,000"
closed-loop-geo,DOE Liftoff Next-Gen Geothermal 2035 ambitious pathway,USA,2035,,,capex_per_kw,9500,USD/kW,USD,2023,estimate,"DOE Pathways to Commercial Liftoff: Next-Generation Geothermal Power (Mar 2024), p. 28",https://www.energy.gov/sites/default/files/2025-07/LIFTOFF_DOE_Next-Generation-Geothermal%20Power.pdf,"$9,000-10,000/kW by 2035 -> LCOE $80-90/MWh; price year assumed 2023"
co2-battery,Alliant Columbia Energy Storage (Energy Dome 20 MW / 200 MWh),USA,2027,20,200,capex_per_kwh,375,USD/kWh,USD,2024,estimate,"Utility Dive, 20 Aug 2024",https://www.utilitydive.com/news/alliant-energy-wisconsin-co2-long-duration-storage-energy-dome/724668/,total project cost $60-90m / 200 MWh -> 300-450 USD/kWh (midpoint); DOE OCED grant $30.7m; FOAK US project
co2-battery,Energy Dome first full-scale plants (CEO),Italy,2022,,,capex_per_kwh,200,USD/kWh,USD,2022,estimate,"MIT Technology Review, 3 May 2022",https://www.technologyreview.com/2022/05/03/1051644/carbon-dioxide-storage-energy-dome/,'just under $200 per kWh' for first full-scale plants; target ~$100/kWh at scale
sofc,Bloom Energy disclosed product cost 2017-2023,USA,2023,,,capex_per_kw,2500,USD/kW,USD,2023,benchmark_range_low,Thunder Said Energy note on Bloom Energy SOFC,https://thundersaidenergy.com/downloads/bloom-energy-solid-oxide-fuel-cell-technology/,"product cost range $2,500-4,000/kW, not installed price"
sofc,Bloom Energy disclosed product cost 2017-2023,USA,2023,,,capex_per_kw,4000,USD/kW,USD,2023,benchmark_range_high,Thunder Said Energy note on Bloom Energy SOFC,https://thundersaidenergy.com/downloads/bloom-energy-solid-oxide-fuel-cell-technology/,
smr-nuclear,DOE Liftoff FOAK SMR median,USA,2024,300,,capex_per_kw,13000,USD/kW,USD,2024,estimate,"DOE Pathways to Commercial Liftoff: Advanced Nuclear (Sep 2024), Fig. 23, p. 26",https://gain.inl.gov/content/uploads/4/2024/11/DOE-Advanced-Nuclear-Liftoff-Report.pdf,"FOAK SMR median ~$13,000/kW vs large reactor ~$8,500/kW"
PHS,Snowy 2.0 (2023 reset),Australia,2028,2200,350000,capex_per_kw,5455,AUD/kW,AUD,2023,estimate,"Snowy Hydro media release, 31 Aug 2023",https://www.snowyhydro.com.au/news/securing-the-future-of-critical-energy-transformation-resets/,"revised cost to complete A$12bn / 2,200 MW = 5,455; excludes HumeLink transmission; under construction, all units Dec 2028; Oct 2025: will exceed A$12bn; original 2017 announcement A$2bn (1,000 A$/kW)"
PHS,Snowy 2.0 (2023 reset),Australia,2028,2200,350000,capex_per_kwh,34.3,AUD/kWh,AUD,2023,estimate,"Snowy Hydro media release, 31 Aug 2023",https://www.snowyhydro.com.au/news/securing-the-future-of-critical-energy-transformation-resets/,12e9 / 350 GWh
PHS,"Fengning (3,600 MW)",China,2024,3600,40000,capex_per_kw,722,USD/kW,USD,2024,final_cost,"pv magazine, 9 Jan 2025",https://www.pv-magazine.com/2025/01/09/worlds-largest-pumped-storage-power-plant-fully-operational-in-china/,"total investment CNY 19.24bn ($2.6bn) / 3,600 MW = 722; nominal spend 2013-2024; State Grid Xinyuan"
PHS,"Fengning (3,600 MW)",China,2024,3600,40000,capex_per_kwh,65,USD/kWh,USD,2024,final_cost,"pv magazine, 9 Jan 2025; 40 GWh per Wikipedia",https://en.wikipedia.org/wiki/Fengning_Pumped_Storage_Power_Station,2.6e9 / 40 GWh; energy capacity from a secondary source
